Posición,Precio,Volumen,Hora
DLR082021,105.5,1,14:59:08
DLR052021,96.13,150,14:59:03
RFX20042021,65000.0,10,14:59:01
DLR082021,105.4,1,14:58:50
DLR042021,93.55,100,14:58:50
DLR042021,93.56,1000,14:58:49
DLR042021,93.56,2000,14:58:49
DLR042021,93.56,1000,14:58:49
DLR042021,93.56,1000,14:58:49
DLR102021,113.0,99,14:58:37
DLR042021,93.55,2000,14:58:32
DLR042021,93.55,1000,14:58:32
RFX20042021,64995.0,1,14:58:13
DLR122021,122.5,1,14:57:44
DLR112021,117.95,1,14:57:41
DLR122021,122.9,45,14:57:29
DLR102021,113.0,280,14:57:26
GGAL062021,123.8,1,14:57:12
GGAL042021,118.0,1,14:57:12
DLR042021,93.56,1000,14:57:11
DLR102021,113.0,50,14:57:08
DLR072021,101.9,100,14:57:01
DLR042021,93.56,1000,14:56:22
DLR042021,93.56,1000,14:56:22
DLR042021,93.56,1000,14:56:22
DLR082021,105.3,1000,14:56:09
DLR082021,105.3,1000,14:56:09
DLR082021,105.3,1000,14:56:09
RFX20042021,64995.0,1,14:56:02
DLR092021,108.9,1000,14:56:00
DLR102021,112.97,1000,14:55:57
DLR052021,96.12,1000,14:55:55
RFX20042021,64995.0,1,14:55:52
GGAL042021,118.15,4,14:55:39
DLR052021,96.12,1000,14:55:28
RFX20042021,64960.0,6,14:55:26
GGAL042021,118.15,1,14:55:23
DLR042021,93.55,200,14:55:22
DLR122021,122.9,155,14:55:17
DLR062021,98.89,50,14:55:10
DLR062021,98.9,1000,14:55:07
DLR072021,101.85,1000,14:55:02
DLR062021,98.87,11,14:54:43
DLR042021,93.55,2000,14:54:15
DLR042021,93.55,1000,14:54:15
RFX20042021,64935.0,5,14:53:56
DLR052021,96.12,26,14:53:43
DLR042021,93.55,1000,14:53:21
WTI052021,62.9,5,14:53:18
GGAL042021,117.85,1,14:52:38
GGAL042021,117.85,7,14:52:38
DLR092021,108.8,100,14:52:35
DLR042021,93.54,20,14:52:31
DLR052021,96.12,1000,14:52:28
DLR052021,96.12,1000,14:52:28
DLR042021,93.55,1000,14:52:26
DLR042021,93.55,1000,14:52:26
DLR042021,93.55,1000,14:52:26
DLR042021,93.55,1000,14:52:26
